sample	integrated_mtbc_status	mtbc_support_source	kraken_mtbc_supported	kraken_species	kraken_mtbc_reads	mtbc_percent	tbprofiler_lineage_status	tbprofiler_main_lineage	tbprofiler_sub_lineage	lineage_group	resistance_profile	drug_resistance_detected	resistant_drugs	mean_depth	selected_for_phylogeny	included_in_tree	selection_basis	tbprofiler_status
ERR987734	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	736365	92.08	Resolved by TB-Profiler	lineage4	lineage4.3.4.2	L4	Hr-TB	YES	isoniazid	27.24	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR987745	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1668649	99.56	Resolved by TB-Profiler	lineage4	lineage4.6.1.1	L4	No resistance detected by TB-Profiler	NO	None reported	61.48	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR987751	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	684658	99.51	Resolved by TB-Profiler	lineage4	lineage4.2.2.2;lineage4.6.1.2	L4	Hr-TB	YES	streptomycin, isoniazid	25.07	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR12634542	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1016648	97.88	Resolved by TB-Profiler	lineage4	lineage4.8	L4	Hr-TB	YES	isoniazid	62.90	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR12634557	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1075512	99.14	Resolved by TB-Profiler	lineage4	lineage4.3.3	L4	Monoresistance	YES	streptomycin	66.72	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR12634558	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	941938	98.67	Resolved by TB-Profiler	lineage4	lineage4.6.1.1	L4	Polyresistance	YES	levofloxacin, moxifloxacin	58.49	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR12634576	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1046268	99.16	Resolved by TB-Profiler	lineage4	lineage4.6.1.1	L4	Hr-TB	YES	isoniazid	65.18	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR12634577	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1106792	99.21	Resolved by TB-Profiler	lineage4	lineage4.6.1.1	L4	No resistance detected by TB-Profiler	NO	None reported	69.60	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR12634584	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	528378	99.63	Resolved by TB-Profiler	lineage3	lineage3	L3	No resistance detected by TB-Profiler	NO	None reported	47.63	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR12634587	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	732029	99.29	Resolved by TB-Profiler	lineage4	lineage4.6.1.1	L4	No resistance detected by TB-Profiler	NO	None reported	45.56	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR12634599	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	872093	99.47	Resolved by TB-Profiler	lineage4	lineage4.6.1.1	L4	Hr-TB	YES	isoniazid	54.50	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR12634602	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	908507	99.37	Resolved by TB-Profiler	lineage4	lineage4.6.1.2	L4	No resistance detected by TB-Profiler	NO	None reported	56.87	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR12634605	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	781414	99.17	Resolved by TB-Profiler	lineage4	lineage4.3.3	L4	No resistance detected by TB-Profiler	NO	None reported	48.79	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR12634610	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	936797	99.32	Resolved by TB-Profiler	lineage1	lineage1.1.2	L1	No resistance detected by TB-Profiler	NO	None reported	58.06	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR12634616	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	852829	98.98	Resolved by TB-Profiler	lineage4	lineage4.3.3	L4	Monoresistance	YES	capreomycin	52.85	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR12634618	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	671624	99.18	Resolved by TB-Profiler	lineage3	lineage3	L3	No resistance detected by TB-Profiler	NO	None reported	42.09	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR12634620	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1037295	99.26	Resolved by TB-Profiler	lineage4	lineage4.6.1.2	L4	No resistance detected by TB-Profiler	NO	None reported	65.00	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR12634623	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1110014	99.42	Resolved by TB-Profiler	lineage4	lineage4.1.2.1	L4	No resistance detected by TB-Profiler	NO	None reported	69.19	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR12634625	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1072313	99.30	Resolved by TB-Profiler	lineage4	lineage4.6.1.1	L4	Polyresistance	YES	bedaquiline, clofazimine, ethionamide	66.62	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR15244368	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	962	99.69	Not resolved by TB-Profiler	Not resolved by TB-Profiler	Not resolved by TB-Profiler	Not resolved by TB-Profiler	Resistance not determined by TB-Profiler	NO	None reported	1.19	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage not resolved	success
SRR15244369	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	4867	99.02	Not resolved by TB-Profiler	Not resolved by TB-Profiler	Not resolved by TB-Profiler	Not resolved by TB-Profiler	Resistance not determined by TB-Profiler	NO	None reported	1.30	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage not resolved	success
SRR35699165	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	144969	99.58	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	MDR-TB	YES	rifampicin, streptomycin, isoniazid, pyrazinamide, ethambutol	12.53	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR35699168	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	195330	99.63	Resolved by TB-Profiler	lineage4	lineage4.1.1.3	L4	MDR-TB	YES	rifampicin, isoniazid, ethambutol	16.42	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR35699169	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	135383	99.64	Resolved by TB-Profiler	lineage4	lineage4.7	L4	MDR-TB	YES	rifampicin, isoniazid, ethambutol, streptomycin	11.41	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR35699173	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	25313	67.03	Not resolved by TB-Profiler	Not resolved by TB-Profiler	Not resolved by TB-Profiler	Not resolved by TB-Profiler	Resistance not determined by TB-Profiler	NO	None reported	2.74	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage not resolved	success
SRR35699174	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	125204	94.43	Resolved by TB-Profiler	lineage4	lineage4.6.1.1	L4	MDR-TB	YES	rifampicin, isoniazid, ethambutol	10.69	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR35699180	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	153518	99.62	Resolved by TB-Profiler	lineage4	lineage4.1.1.3	L4	MDR-TB	YES	rifampicin, isoniazid	13.26	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR35699185	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	153268	99.60	Resolved by TB-Profiler	lineage4	lineage4.6.1.2	L4	RR-TB	YES	rifampicin, ethambutol, streptomycin	13.10	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR36942077	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1290720	99.07	Resolved by TB-Profiler	lineage4	lineage4.4.1.1	L4	No resistance detected by TB-Profiler	NO	None reported	81.83	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR36942083	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1287535	98.97	Resolved by TB-Profiler	lineage4	lineage4.6.1.1	L4	No resistance detected by TB-Profiler	NO	None reported	81.08	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR36942094	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1329225	99.07	Resolved by TB-Profiler	lineage4	lineage4.3.3	L4	No resistance detected by TB-Profiler	NO	None reported	81.99	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR36942111	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1333724	98.77	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	No resistance detected by TB-Profiler	NO	None reported	83.87	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR36942121	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1100519	99.01	Resolved by TB-Profiler	lineage4	lineage4.6.1.1	L4	No resistance detected by TB-Profiler	NO	None reported	69.49	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR36942122	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1332926	98.99	Resolved by TB-Profiler	lineage3	lineage3	L3	No resistance detected by TB-Profiler	NO	None reported	83.35	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR36942129	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1245551	99.09	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	No resistance detected by TB-Profiler	NO	None reported	75.66	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR36942141	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1246888	99.02	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	No resistance detected by TB-Profiler	NO	None reported	77.76	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR36942156	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1280997	98.86	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	No resistance detected by TB-Profiler	NO	None reported	80.66	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR36942161	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1208721	99.05	Resolved by TB-Profiler	lineage4	lineage4.6.1.2	L4	Hr-TB	YES	ethionamide, isoniazid	75.95	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
SRR36942188	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1248356	96.13	Resolved by TB-Profiler	lineage3	lineage3	L3	No resistance detected by TB-Profiler	NO	None reported	80.85	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
