sample	mean_depth	kraken_mtbc_supported	mtbc_percent	selected_for_phylogeny	included_in_tree	reason
ERR108145	83.03	YES	98.85	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported
ERR108168	72.69	YES	98.89	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported
ERR108173	75.40	YES	98.86	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported
ERR108186	67.29	YES	98.91	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported
ERR15278530	106.57	YES	98.70	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported
ERR1633819	49.16	YES	99.07	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported
ERR1633828	43.51	YES	95.34	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported
ERR1679657	37.27	YES	99.39	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported
ERR17070187	62.73	YES	98.94	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported
ERR17070204	77.45	YES	98.32	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported
ERR171147	72.91	YES	99.27	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported
ERR171149	83.00	YES	99.09	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported
ERR171152	86.43	YES	99.10	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported
ERR171153	47.20	YES	99.11	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported
ERR7801260	73.41	YES	99.51	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported
ERR8774265	121.84	YES	99.25	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported
SRR1062841	60.05	YES	99.28	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported
SRR1062843	65.04	YES	99.30	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported
SRR1140949	79.18	YES	99.26	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported
SRR3055715	22.15	YES	99.01	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported
SRR3055717	34.83	YES	97.95	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported
SRR3724754	39.29	YES	99.11	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported
SRR3724765	27.22	YES	98.80	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported
SRR4034515	43.10	YES	99.25	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported
SRR4034592	25.23	YES	99.25	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported
