sample	alignment_length	acgt_count	missing_count	missing_fraction
ERR12115322	8476	8345	131	0.015455
ERR15278529	8476	8330	146	0.017225
ERR15278530	8476	8376	100	0.011798
ERR15278547	8476	8273	203	0.023950
ERR15278558	8476	8259	217	0.025602
ERR15278570	8476	8327	149	0.017579
ERR4423684	8476	7982	494	0.058282
ERR4423685	8476	8080	396	0.046720
ERR7801121	8476	8304	172	0.020293
ERR7801145	8476	8195	281	0.033152
ERR7801146	8476	8193	283	0.033388
ERR7801159	8476	8284	192	0.022652
ERR7801197	8476	8229	247	0.029141
ERR7801212	8476	8258	218	0.025720
ERR7801217	8476	8138	338	0.039877
ERR7801257	8476	8275	201	0.023714
ERR7801260	8476	8191	285	0.033624
ERR7801266	8476	8260	216	0.025484
ERR7801275	8476	8292	184	0.021708
ERR7801283	8476	8230	246	0.029023
Reference	8476	8469	7	0.000826
SRR12882014	8476	8233	243	0.028669
SRR12882354	8476	8245	231	0.027253
SRR12882371	8476	8239	237	0.027961
SRR12882580	8476	8260	216	0.025484
SRR12882583	8476	8224	252	0.029731
SRR12882700	8476	8324	152	0.017933
SRR12882715	8476	8310	166	0.019585
SRR1791710	8476	8085	391	0.046130
SRR1791712	8476	7918	558	0.065833
SRR19358248	8476	8198	278	0.032798
SRR19392925	8476	7422	1054	0.124351
SRR19392955	8476	8103	373	0.044007
SRR19427024	8476	8139	337	0.039759
SRR19428609	8476	8117	359	0.042355
SRR19428630	8476	8235	241	0.028433
SRR29096283	8476	8258	218	0.025720
SRR29096542	8476	8371	105	0.012388
SRR29096705	8476	8327	149	0.017579
