sample	alignment_length	acgt_count	missing_count	missing_fraction
ERR11775007	33921	33447	474	0.013974
ERR11775757	33921	33663	258	0.007606
ERR13907110	33921	30082	3839	0.113175
ERR13962884	33921	33837	84	0.002476
ERR14936898	33921	33371	550	0.016214
Reference	33921	33920	1	0.000029
SRR23310852	33921	33376	545	0.016067
SRR23310856	33921	33487	434	0.012794
SRR23310982	33921	33367	554	0.016332
SRR29477258	33921	33580	341	0.010053
SRR30443484	33921	33044	877	0.025854
SRR30443678	33921	33082	839	0.024734
