sample	alignment_length	acgt_count	missing_count	missing_fraction
ERR987734	4410911	4169159	241752	0.054808
ERR987745	4410911	4245173	165738	0.037575
ERR987751	4410911	4197455	213456	0.048393
Reference	4410911	4410911	0	0.000000
SRR12634542	4410911	4229033	181878	0.041234
SRR12634557	4410911	4220254	190657	0.043224
SRR12634558	4410911	4218431	192480	0.043637
SRR12634576	4410911	4218853	192058	0.043542
SRR12634577	4410911	4229665	181246	0.041090
SRR12634584	4410911	4217559	193352	0.043835
SRR12634587	4410911	4180682	230229	0.052195
SRR12634599	4410911	4157411	253500	0.057471
SRR12634602	4410911	4193850	217061	0.049210
SRR12634605	4410911	4174242	236669	0.053655
SRR12634610	4410911	4185864	225047	0.051021
SRR12634616	4410911	4145204	265707	0.060239
SRR12634618	4410911	4157074	253837	0.057548
SRR12634620	4410911	4214853	196058	0.044448
SRR12634623	4410911	4201385	209526	0.047502
SRR12634625	4410911	4203634	207277	0.046992
SRR35699165	4410911	2941773	1469138	0.333069
SRR35699168	4410911	3645283	765628	0.173576
SRR35699169	4410911	2688612	1722299	0.390463
SRR35699174	4410911	2396914	2013997	0.456594
SRR35699180	4410911	3124760	1286151	0.291584
SRR35699185	4410911	3150564	1260347	0.285734
SRR36942077	4410911	4323674	87237	0.019778
SRR36942083	4410911	4313181	97730	0.022156
SRR36942094	4410911	4316138	94773	0.021486
SRR36942111	4410911	4310603	100308	0.022741
SRR36942121	4410911	4317884	93027	0.021090
SRR36942122	4410911	4332385	78526	0.017803
SRR36942129	4410911	4290953	119958	0.027196
SRR36942141	4410911	4309198	101713	0.023059
SRR36942156	4410911	4309988	100923	0.022880
SRR36942161	4410911	4323745	87166	0.019761
SRR36942188	4410911	4322456	88455	0.020054
SRR36942189	4410911	4323866	87045	0.019734
SRR36942245	4410911	4323705	87206	0.019771
SRR36942255	4410911	4317345	93566	0.021212
SRR36942256	4410911	4334200	76711	0.017391
SRR36942257	4410911	4316489	94422	0.021406
SRR36942258	4410911	4307200	103711	0.023512
