sample	integrated_mtbc_status	mtbc_support_source	kraken_mtbc_supported	kraken_species	kraken_mtbc_reads	mtbc_percent	tbprofiler_lineage_status	tbprofiler_main_lineage	tbprofiler_sub_lineage	lineage_group	resistance_profile	drug_resistance_detected	resistant_drugs	mean_depth	selected_for_phylogeny	included_in_tree	selection_basis	tbprofiler_status
ERR108145	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1891366	98.85	Resolved by TB-Profiler	lineage4	lineage4.3.2.1	L4	No resistance detected by TB-Profiler	NO	None reported	83.03	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR108168	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1645410	98.89	Resolved by TB-Profiler	lineage4	lineage4.3.2.1	L4	No resistance detected by TB-Profiler	NO	None reported	72.69	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR108173	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1703216	98.86	Resolved by TB-Profiler	lineage2	lineage2.2.1.1	L2	No resistance detected by TB-Profiler	NO	None reported	75.40	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR108186	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1530649	98.91	Resolved by TB-Profiler	lineage4	lineage4.3.2.1	L4	No resistance detected by TB-Profiler	NO	None reported	67.29	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR15278530	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1880624	98.70	Resolved by TB-Profiler	lineage3	lineage3.1.1	L3	RR-TB	YES	rifampicin, pyrazinamide	106.57	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR1633819	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1106888	99.07	Resolved by TB-Profiler	lineage2	lineage2.2.1.1	L2	MDR-TB	YES	rifampicin, isoniazid	49.16	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR1633828	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1143813	95.34	Resolved by TB-Profiler	lineage2	lineage2.2.1.1	L2	No resistance detected by TB-Profiler	NO	None reported	43.51	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR1679657	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	449999	99.39	Resolved by TB-Profiler	lineage4	lineage4.6.2.2	L4	No resistance detected by TB-Profiler	NO	None reported	37.27	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR17070187	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1054834	98.94	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	MDR-TB	YES	rifampicin, ethionamide, isoniazid, pyrazinamide, ethambutol	62.73	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
ERR17070204	MTBC supported	Kraken2/Bracken	YES	Mycobacterium tuberculosis	1263623	98.32	Resolved by TB-Profiler	lineage2	lineage2.2.1	L2	MDR-TB	YES	rifampicin, ethionamide, isoniazid	77.45	YES	YES	Selected for phylogeny because Kraken2/Bracken species typing supports MTBC; TB-Profiler lineage reported	success
