sample	alignment_length	acgt_count	missing_count	missing_fraction
ERR108145	4801	4733	68	0.014164
ERR108168	4801	4720	81	0.016871
ERR108173	4801	4709	92	0.019163
ERR108186	4801	4721	80	0.016663
ERR15278530	4801	4747	54	0.011248
ERR1633819	4801	4685	116	0.024162
ERR1633828	4801	4687	114	0.023745
ERR1679657	4801	4492	309	0.064362
ERR17070187	4801	4712	89	0.018538
ERR17070204	4801	4718	83	0.017288
ERR171147	4801	4741	60	0.012497
ERR171149	4801	4700	101	0.021037
ERR171152	4801	4736	65	0.013539
ERR171153	4801	4715	86	0.017913
ERR7801260	4801	4647	154	0.032077
ERR8774265	4801	4687	114	0.023745
Reference	4801	4796	5	0.001041
SRR1062841	4801	4671	130	0.027078
SRR1062843	4801	4662	139	0.028952
SRR1140949	4801	4694	107	0.022287
SRR3055715	4801	4348	453	0.094355
SRR3055717	4801	4538	263	0.054780
SRR3724754	4801	4572	229	0.047698
SRR3724765	4801	4518	283	0.058946
SRR4034515	4801	4638	163	0.033951
SRR4034592	4801	4496	305	0.063528
