sample	alignment_length	acgt_count	missing_count	missing_fraction
ERR12115322	23741	23356	385	0.016217
ERR15278530	23741	23394	347	0.014616
ERR15278570	23741	23292	449	0.018912
ERR1679657	23741	22483	1258	0.052989
ERR4143897	23741	22691	1050	0.044227
ERR4143898	23741	22814	927	0.039046
ERR4423502	23741	23105	636	0.026789
ERR4423787	23741	23157	584	0.024599
ERR7801197	23741	23189	552	0.023251
ERR7801266	23741	23178	563	0.023714
ERR8774298	23741	23196	545	0.022956
ERR970411	23741	23091	650	0.027379
ERR970412	23741	22137	1604	0.067562
Reference	23741	23555	186	0.007835
SRR25473321	23741	22787	954	0.040184
SRR25473322	23741	23019	722	0.030412
SRR33589037	23741	21701	2040	0.085927
SRR33657841	23741	21881	1860	0.078345
SRR33715116	23741	21858	1883	0.079314
SRR3500411	23741	23092	649	0.027337
SRR35607791	23741	23047	694	0.029232
SRR36978480	23741	22906	835	0.035171
SRR38137702	23741	22697	1044	0.043975
SRR38137799	23741	22564	1177	0.049577
SRR38143336	23741	22846	895	0.037698
SRR38143613	23741	23162	579	0.024388
SRR38143619	23741	22799	942	0.039678
SRR38143823	23741	22878	863	0.036351
SRR38143903	23741	22502	1239	0.052188
SRR38405739	23741	22962	779	0.032812
SRR38438549	23741	23257	484	0.020387
