sample	alignment_length	acgt_count	missing_count	missing_fraction
ERR10112879	6600	6467	133	0.020152
ERR10112899	6600	6495	105	0.015909
ERR10112906	6600	6450	150	0.022727
ERR108149	6600	6493	107	0.016212
ERR108155	6600	6468	132	0.020000
ERR14370745	6600	6284	316	0.047879
ERR14370807	6600	6488	112	0.016970
ERR14370882	6600	6367	233	0.035303
ERR14985255	6600	6510	90	0.013636
ERR14985278	6600	6532	68	0.010303
ERR15827596	6600	5250	1350	0.204545
ERR15827597	6600	5229	1371	0.207727
ERR1633838	6600	6463	137	0.020758
ERR1633859	6600	5877	723	0.109545
ERR16708478	6600	6463	137	0.020758
ERR16708641	6600	6372	228	0.034545
ERR16708648	6600	6070	530	0.080303
ERR16708726	6600	6490	110	0.016667
ERR16708840	6600	6473	127	0.019242
ERR16708843	6600	6490	110	0.016667
ERR16708861	6600	6514	86	0.013030
ERR16708876	6600	6457	143	0.021667
ERR16709394	6600	6470	130	0.019697
ERR16709396	6600	6486	114	0.017273
ERR16709409	6600	6482	118	0.017879
ERR16834572	6600	6469	131	0.019848
ERR16915221	6600	6452	148	0.022424
ERR16950335	6600	6487	113	0.017121
ERR16950355	6600	6491	109	0.016515
ERR17036257	6600	6496	104	0.015758
ERR17036273	6600	6489	111	0.016818
ERR17036280	6600	6533	67	0.010152
ERR17050895	6600	6518	82	0.012424
ERR17050897	6600	6344	256	0.038788
ERR17070185	6600	6480	120	0.018182
ERR17070195	6600	6460	140	0.021212
ERR17090777	6600	6535	65	0.009848
ERR17090790	6600	6498	102	0.015455
ERR17090791	6600	6513	87	0.013182
ERR7737945	6600	6483	117	0.017727
ERR8025420	6600	6460	140	0.021212
Reference	6600	6599	1	0.000152
SRR10869058	6600	6440	160	0.024242
SRR10869317	6600	6405	195	0.029545
SRR10869318	6600	6453	147	0.022273
SRR32132077	6600	6498	102	0.015455
SRR32132079	6600	6470	130	0.019697
SRR32132083	6600	6499	101	0.015303
